Points_0,Points_1,Points_2
4.78072,0.751041,0
4,0,0
3,0,0
2,0,0
4.27523,1.62656,0
5.2862,1.62656,0
1,0,0
0.73686,0.751041,0
0,0,0
0,1,0
1.24234,1.62656,0
0.231378,1.62656,0
0,2,0
0.73686,2.50208,0
1.74782,2.50208,0
0.231378,5.12864,0
0,5,0
2.25331,3.3776,0
2.75879,4.25312,0
1.74782,4.25312,0
2.25331,5.12864,0
1.24234,5.12864,0
3.26427,5.12864,0
0.73686,4.25312,0
1.24234,3.3776,0
0,3,0
0.231378,3.3776,0
0,4,0
8.31909,1.62656,0
7.81361,2.50208,0
8.82457,2.50208,0
9.33006,1.62656,0
9.83554,2.50208,0
7.30813,3.3776,0
6.80265,4.25312,0
7.81361,4.25312,0
6.29716,5.12864,0
5.79168,6.00417,0
6.80265,6.00417,0
8.31909,5.12864,0
7.30813,5.12864,0
7.81361,6.00417,0
8.82457,6.00417,0
10.341,3.3776,0
10.8465,4.25312,0
9.83554,4.25312,0
10.341,5.12864,0
9.33006,5.12864,0
9.83554,6.00417,0
10.8465,6.00417,0
11.352,5.12864,0
11.8575,6.00417,0
8.82457,4.25312,0
9.33006,3.3776,0
8.31909,3.3776,0
5.2862,6.87969,0
4.78072,7.75521,0
5.79168,7.75521,0
4.27523,8.63073,0
3.76975,9.50625,0
4.78072,9.50625,0
6.29716,8.63073,0
5.2862,8.63073,0
5.79168,9.50625,0
6.80265,9.50625,0
6,10,0
7.81361,9.50625,0
7,10,0
5,10,0
4,10,0
12.3629,6.87969,0
12.8684,7.75521,0
11.8575,7.75521,0
12.3629,8.63073,0
11.352,8.63073,0
11.8575,9.50625,0
10.8465,9.50625,0
12.8684,9.50625,0
13.3739,8.63073,0
13.8794,9.50625,0
11,10,0
14,10,0
13,10,0
12,10,0
10,10,0
9.83554,9.50625,0
9,10,0
8.82457,9.50625,0
8,10,0
10.341,8.63073,0
10.8465,7.75521,0
9.83554,7.75521,0
11.352,6.87969,0
9.33006,6.87969,0
10.341,6.87969,0
7.30813,8.63073,0
6.80265,7.75521,0
7.81361,7.75521,0
7.30813,6.87969,0
8.31909,6.87969,0
6.29716,6.87969,0
8.82457,7.75521,0
8.31909,8.63073,0
9.33006,8.63073,0
25,0,0
24.4945,1.62656,0
23.989,2.50208,0
25,2.50208,0
25.5055,1.62656,0
26.011,2.50208,0
23.4836,3.3776,0
22.9781,4.25312,0
23.989,4.25312,0
22.4726,5.12864,0
21.9671,6.00417,0
22.9781,6.00417,0
24.4945,5.12864,0
23.4836,5.12864,0
23.989,6.00417,0
25,6.00417,0
26.5164,3.3776,0
27.0219,4.25312,0
26.011,4.25312,0
26.5164,5.12864,0
25.5055,5.12864,0
26.011,6.00417,0
27.0219,6.00417,0
27.5274,5.12864,0
28.0329,6.00417,0
25,4.25312,0
25.5055,3.3776,0
24.4945,3.3776,0
21.4616,6.87969,0
20.9561,7.75521,0
21.9671,7.75521,0
20.4507,8.63073,0
19.9452,9.50625,0
20.9561,9.50625,0
22.4726,8.63073,0
21.4616,8.63073,0
21.9671,9.50625,0
22.9781,9.50625,0
23.989,9.50625,0
23,10,0
22,10,0
21,10,0
20,10,0
28.5384,6.87969,0
29.0439,7.75521,0
28.0329,7.75521,0
28.5384,8.63073,0
27.5274,8.63073,0
28.0329,9.50625,0
27.0219,9.50625,0
29.0439,9.50625,0
29.5493,8.63073,0
30.0548,9.50625,0
28,10,0
30,10,0
29,10,0
27,10,0
26.011,9.50625,0
26,10,0
25,9.50625,0
25,10,0
24,10,0
26.5164,8.63073,0
27.0219,7.75521,0
26.011,7.75521,0
27.5274,6.87969,0
25.5055,6.87969,0
26.5164,6.87969,0
23.4836,8.63073,0
22.9781,7.75521,0
23.989,7.75521,0
23.4836,6.87969,0
24.4945,6.87969,0
22.4726,6.87969,0
25,7.75521,0
24.4945,8.63073,0
25.5055,8.63073,0
